M,N,K,BR_STRIDE,LDA,LDB,LDC,TRANS_A,TRANS_B,TIME_S,GFLOPS
60,10,64,16,60,64,60,0,0,0.992617,78.619
60,10,128,16,60,128,60,0,0,1.00261,77.223
61,10,1,16,61,1,61,0,0,0.769776,96.602
61,10,16,16,61,16,61,0,0,1.00518,115.432
61,10,32,16,61,32,61,0,0,1.003,111.456
61,10,64,16,61,64,61,0,0,0.932955,71.3838
61,10,128,16,61,128,61,0,0,1.01829,69.6305
62,10,1,16,62,1,62,0,0,0.773504,100.903
62,10,16,16,62,16,62,0,0,0.974427,118.821
62,10,32,16,62,32,62,0,0,1.01316,114.02
62,10,64,16,62,64,62,0,0,0.975509,74.5383
62,10,128,16,62,128,62,0,0,0.994774,69.2923
63,10,1,16,63,1,63,0,0,0.773989,94.7159
63,10,16,16,63,16,63,0,0,1.07157,117.658
63,10,32,16,63,32,63,0,0,1.07492,107.17
63,10,64,16,63,64,63,0,0,1.02501,67.3274
63,10,128,16,63,128,63,0,0,0.991578,66.2934
64,10,1,16,64,1,64,0,0,0.709669,101.83
64,10,16,16,64,16,64,0,0,0.971566,123.583
64,10,32,16,64,32,64,0,0,1.02366,114.155
64,10,64,16,64,64,64,0,0,0.96238,78.1981
64,10,128,16,64,128,64,0,0,0.777967,75.4522
1,11,1,16,1,1,1,0,0,0.621061,10.457
1,11,16,16,1,16,1,0,0,0.98814,10.6874
1,11,32,16,1,32,1,0,0,0.765414,10.357
1,11,64,16,1,64,1,0,0,1.02224,7.24524
1,11,128,16,1,128,1,0,0,1.12598,6.97927
2,11,1,16,2,1,2,0,0,0.851581,19.8249
2,11,16,16,2,16,2,0,0,0.439455,21.6612
2,11,32,16,2,32,2,0,0,0.972604,20.1414
2,11,64,16,2,64,2,0,0,1.09221,14.7329
2,11,128,16,2,128,2,0,0,0.99763,14.6376
3,11,1,16,3,1,3,0,0,0.947495,26.7913
3,11,16,16,3,16,3,0,0,0.86891,28.112
3,11,32,16,3,32,3,0,0,1.17659,23.6869
3,11,64,16,3,64,3,0,0,0.900553,19.3465
3,11,128,16,3,128,3,0,0,0.988389,21.4236
4,11,1,16,4,1,4,0,0,0.627819,44.8537
4,11,16,16,4,16,4,0,0,0.779725,44.4496
4,11,32,16,4,32,4,0,0,1.05964,40.4955
4,11,64,16,4,64,4,0,0,1.07236,29.313
4,11,128,16,4,128,4,0,0,1.06155,29.2502
5,11,1,16,5,1,5,0,0,0.933288,41.0851
5,11,16,16,5,16,5,0,0,0.773273,48.5555
5,11,32,16,5,32,5,0,0,0.881642,46.1799
5,11,64,16,5,64,5,0,0,0.807161,35.668
5,11,128,16,5,128,5,0,0,0.993258,34.9835
6,11,1,16,6,1,6,0,0,0.629183,50.3258
6,11,16,16,6,16,6,0,0,0.789055,58.4016
6,11,32,16,6,32,6,0,0,1.07983,56.8976
6,11,64,16,6,64,6,0,0,1.03785,42.6424
6,11,128,16,6,128,6,0,0,1.08551,41.4494
7,11,1,16,7,1,7,0,0,0.744809,49.5987
7,11,16,16,7,16,7,0,0,0.899283,58.127
7,11,32,16,7,32,7,0,0,0.979351,56.4985
7,11,64,16,7,64,7,0,0,1.12244,45.4423
7,11,128,16,7,128,7,0,0,0.939786,43.6551
8,11,1,16,8,1,8,0,0,0.62733,76.996
8,11,16,16,8,16,8,0,0,0.973337,82.2937
8,11,32,16,8,32,8,0,0,0.97032,76.5924
8,11,64,16,8,64,8,0,0,1.08518,57.351
8,11,128,16,8,128,8,0,0,0.850498,53.5893
9,11,1,16,9,1,9,0,0,0.806543,58.8887
9,11,16,16,9,16,9,0,0,0.978468,71.8694
9,11,32,16,9,32,9,0,0,1.00245,71.595
9,11,64,16,9,64,9,0,0,1.01823,59.1442
9,11,128,16,9,128,9,0,0,0.863066,57.385
10,11,1,16,10,1,10,0,0,0.600418,74.0225
10,11,16,16,10,16,10,0,0,0.796008,79.3552
10,11,32,16,10,32,10,0,0,0.996431,79.799
10,11,64,16,10,64,10,0,0,1.01154,65.7444
10,11,128,16,10,128,10,0,0,0.986989,62.7126
11,11,1,16,11,1,11,0,0,0.76226,60.98
11,11,16,16,11,16,11,0,0,0.768563,76.4632
11,11,32,16,11,32,11,0,0,0.931467,76.9259
11,11,64,16,11,64,11,0,0,0.976323,68.6755
11,11,128,16,11,128,11,0,0,1.08439,65.0974
12,11,1,16,12,1,12,0,0,0.633761,88.8664
12,11,16,16,12,16,12,0,0,0.979308,98.5886
12,11,32,16,12,32,12,0,0,1.09746,97.8814
12,11,64,16,12,64,12,0,0,1.01477,79.6222
12,11,128,16,12,128,12,0,0,0.99114,75.5023
13,11,1,16,13,1,13,0,0,0.811279,67.7128
13,11,16,16,13,16,13,0,0,0.988152,101.028
13,11,32,16,13,32,13,0,0,0.99942,101.925
13,11,64,16,13,64,13,0,0,1.00419,101.44
13,11,128,16,13,128,13,0,0,0.987343,83.8006
14,11,1,16,14,1,14,0,0,0.746333,79.2671
14,11,16,16,14,16,14,0,0,0.989915,108.62
14,11,32,16,14,32,14,0,0,1.00427,109.877
14,11,64,16,14,64,14,0,0,1.0018,109.031
14,11,128,16,14,128,14,0,0,1.01644,88.4432
15,11,1,16,15,1,15,0,0,0.707313,77.9214
15,11,16,16,15,16,15,0,0,0.846119,108.929
15,11,32,16,15,32,15,0,0,1.00601,108.355
15,11,64,16,15,64,15,0,0,1.02531,108.353
15,11,128,16,15,128,15,0,0,1.01421,89.6973
16,11,1,16,16,1,16,0,0,0.730581,92.5442
16,11,16,16,16,16,16,0,0,1.09542,126.558
16,11,32,16,16,32,16,0,0,1.10336,126.044
16,11,64,16,16,64,16,0,0,1.10951,124.153
16,11,128,16,16,128,16,0,0,1.04511,100.82
17,11,1,16,17,1,17,0,0,0.791875,60.454
17,11,16,16,17,16,17,0,0,1.06786,78.5314
17,11,32,16,17,32,17,0,0,1.00396,77.9837
17,11,64,16,17,64,17,0,0,1.00952,74.0223
17,11,128,16,17,128,17,0,0,0.980625,56.9091
18,11,1,16,18,1,18,0,0,0.735196,79.5763
18,11,16,16,18,16,18,0,0,0.978429,82.0681
18,11,32,16,18,32,18,0,0,1.09817,83.7648
18,11,64,16,18,64,18,0,0,1.1162,77.6393
18,11,128,16,18,128,18,0,0,0.976973,59.9897
19,11,1,16,19,1,19,0,0,0.819219,55.9936
19,11,16,16,19,16,19,0,0,1.03403,85.9375
19,11,32,16,19,32,19,0,0,0.998482,85.3098
19,11,64,16,19,64,19,0,0,0.837378,80.1286
19,11,128,16,19,128,19,0,0,0.9099,61.3912
20,11,1,16,20,1,20,0,0,0.784245,74.3112
20,11,16,16,20,16,20,0,0,0.944224,94.1767
20,11,32,16,20,32,20,0,0,0.996708,93.2058
20,11,64,16,20,64,20,0,0,0.991417,84.6169
20,11,128,16,20,128,20,0,0,0.98242,67.7138
21,11,1,16,21,1,21,0,0,0.75788,75.5501
21,11,16,16,21,16,21,0,0,0.996721,92.1567
21,11,32,16,21,32,21,0,0,1.01631,93.252
21,11,64,16,21,64,21,0,0,0.703258,88.5614
21,11,128,16,21,128,21,0,0,0.930913,66.9226
22,11,1,16,22,1,22,0,0,0.778631,82.2635
22,11,16,16,22,16,22,0,0,0.942894,97.9415
22,11,32,16,22,32,22,0,0,1.00224,98.736
22,11,64,16,22,64,22,0,0,0.992686,91.1903
22,11,128,16,22,128,22,0,0,1.02868,69.6359
23,11,1,16,23,1,23,0,0,0.819405,64.0748
23,11,16,16,23,16,23,0,0,0.998239,93.8078
23,11,32,16,23,32,23,0,0,1.10599,93.5408
23,11,64,16,23,64,23,0,0,1.01505,88.3904
23,11,128,16,23,128,23,0,0,1.01333,70.5887
24,11,1,16,24,1,24,0,0,0.72328,96.6898
24,11,16,16,24,16,24,0,0,0.8832,108.99
24,11,32,16,24,32,24,0,0,1.01363,108.675
24,11,64,16,24,64,24,0,0,1.01575,91.5769
24,11,128,16,24,128,24,0,0,0.967638,77.202
25,11,1,16,25,1,25,0,0,0.866581,84.0633
25,11,16,16,25,16,25,0,0,0.915734,106.657
25,11,32,16,25,32,25,0,0,1.10923,107.267
25,11,64,16,25,64,25,0,0,0.984981,93.9281
25,11,128,16,25,128,25,0,0,1.00212,76.0749
26,11,1,16,26,1,26,0,0,0.761172,99.5328
26,11,16,16,26,16,26,0,0,0.997587,111.48
26,11,32,16,26,32,26,0,0,1.00762,112.147
26,11,64,16,26,64,26,0,0,0.995096,95.7093
26,11,128,16,26,128,26,0,0,0.990548,78.9065
27,11,1,16,27,1,27,0,0,0.762052,83.1439
27,11,16,16,27,16,27,0,0,0.969625,108.78
27,11,32,16,27,32,27,0,0,1.0188,108.059
27,11,64,16,27,64,27,0,0,0.993431,93.4171
27,11,128,16,27,128,27,0,0,0.987733,79.7795
28,11,1,16,28,1,28,0,0,0.718297,106.202
28,11,16,16,28,16,28,0,0,0.938978,123.262
28,11,32,16,28,32,28,0,0,1.00224,122.603
28,11,64,16,28,64,28,0,0,0.936033,95.2477
28,11,128,16,28,128,28,0,0,0.970137,85.0619
29,11,1,16,29,1,29,0,0,0.747748,99.2848
29,11,16,16,29,16,29,0,0,0.981149,113.823
29,11,32,16,29,32,29,0,0,1.0014,113.461
29,11,64,16,29,64,29,0,0,1.11461,94.5379
29,11,128,16,29,128,29,0,0,0.996044,84.0675
30,11,1,16,30,1,30,0,0,0.74424,106.444
30,11,16,16,30,16,30,0,0,1.00121,117.395
30,11,32,16,30,32,30,0,0,1.00519,117.956
30,11,64,16,30,64,30,0,0,1.01967,96.7017
30,11,128,16,30,128,30,0,0,1.01288,86.4443
31,11,1,16,31,1,31,0,0,0.748492,97.191
31,11,16,16,31,16,31,0,0,0.916521,116.631
31,11,32,16,31,32,31,0,0,1.01319,115.518
31,11,64,16,31,64,31,0,0,1.0048,94.3489
31,11,128,16,31,128,31,0,0,0.901624,86.1427
32,11,1,16,32,1,32,0,0,0.749103,109.357
32,11,16,16,32,16,32,0,0,1.00099,125.985
32,11,32,16,32,32,32,0,0,1.10412,125.968
32,11,64,16,32,64,32,0,0,1.08029,97.5362
32,11,128,16,32,128,32,0,0,0.99915,93.5495
33,11,1,16,33,1,33,0,0,0.797418,77.6908
33,11,16,16,33,16,33,0,0,0.992703,95.8049
33,11,32,16,33,32,33,0,0,0.99884,95.2163
33,11,64,16,33,64,33,0,0,1.00552,75.0597
33,11,128,16,33,128,33,0,0,0.935472,67.0397
34,11,1,16,34,1,34,0,0,0.793644,88.2376
34,11,16,16,34,16,34,0,0,0.990152,98.1239
34,11,32,16,34,32,34,0,0,1.00242,98.9126
34,11,64,16,34,64,34,0,0,1.04219,75.7993
34,11,128,16,34,128,34,0,0,0.934456,68.7824
35,11,1,16,35,1,35,0,0,0.805783,76.4474
35,11,16,16,35,16,35,0,0,0.993239,100.487
35,11,32,16,35,32,35,0,0,0.999904,100.241
35,11,64,16,35,64,35,0,0,1.05938,70.049
35,11,128,16,35,128,35,0,0,0.99202,67.3215
36,11,1,16,36,1,36,0,0,0.783124,86.3005
36,11,16,16,36,16,36,0,0,0.987158,106.008
36,11,32,16,36,32,36,0,0,1.10263,105.074
36,11,64,16,36,64,36,0,0,1.02207,74.5349
36,11,128,16,36,128,36,0,0,0.987318,72.067
37,11,1,16,37,1,37,0,0,0.820537,81.065
37,11,16,16,37,16,37,0,0,0.976908,104.476
37,11,32,16,37,32,37,0,0,1.00236,104.489
37,11,64,16,37,64,37,0,0,1.04059,73.4042
37,11,128,16,37,128,37,0,0,0.980454,69.8146
38,11,1,16,38,1,38,0,0,0.823779,88.5352
38,11,16,16,38,16,38,0,0,0.979172,107.273
38,11,32,16,38,32,38,0,0,0.999954,108.252
38,11,64,16,38,64,38,0,0,1.07049,75.2055
38,11,128,16,38,128,38,0,0,1.03083,71.4631
39,11,1,16,39,1,39,0,0,0.821613,81.8246
39,11,16,16,39,16,39,0,0,0.70248,104.953
39,11,32,16,39,32,39,0,0,1.00237,104.556
39,11,64,16,39,64,39,0,0,0.997482,73.5018
39,11,128,16,39,128,39,0,0,0.993841,71.5928
40,11,1,16,40,1,40,0,0,0.72315,101.567
40,11,16,16,40,16,40,0,0,0.977401,115.003
40,11,32,16,40,32,40,0,0,1.10169,114.663
40,11,64,16,40,64,40,0,0,0.990363,77.2177
40,11,128,16,40,128,40,0,0,0.953382,75.2006
41,11,1,16,41,1,41,0,0,0.763874,92.5229
41,11,16,16,41,16,41,0,0,0.973191,113.213
41,11,32,16,41,32,41,0,0,1.00571,113.498
41,11,64,16,41,64,41,0,0,1.01979,76.4596
41,11,128,16,41,128,41,0,0,0.936768,74.3203
42,11,1,16,42,1,42,0,0,0.800065,100.81
42,11,16,16,42,16,42,0,0,0.942709,116.032
42,11,32,16,42,32,42,0,0,1.00296,116.949
42,11,64,16,42,64,42,0,0,0.999073,78.7295
42,11,128,16,42,128,42,0,0,1.00386,75.8816
43,11,1,16,43,1,43,0,0,0.769287,92.59
43,11,16,16,43,16,43,0,0,0.986212,113.997
43,11,32,16,43,32,43,0,0,0.911094,113.817
43,11,64,16,43,64,43,0,0,0.942554,77.3459
43,11,128,16,43,128,43,0,0,1.00945,75.7482
44,11,1,16,44,1,44,0,0,0.747229,108.123
44,11,16,16,44,16,44,0,0,1.04902,124.056
44,11,32,16,44,32,44,0,0,1.0032,123.508
44,11,64,16,44,64,44,0,0,0.905982,81.2192
44,11,128,16,44,128,44,0,0,1.03006,79.5691
45,11,1,16,45,1,45,0,0,0.765255,99.371
45,11,16,16,45,16,45,0,0,1.003,117.298
45,11,32,16,45,32,45,0,0,1.00487,116.968
45,11,64,16,45,64,45,0,0,0.969793,78.7692
45,11,128,16,45,128,45,0,0,1.00049,77.7801
46,11,1,16,46,1,46,0,0,0.765049,108.093
46,11,16,16,46,16,46,0,0,1.00377,119.352
46,11,32,16,46,32,46,0,0,0.989346,119.82
46,11,64,16,46,64,46,0,0,1.0007,80.7192
46,11,128,16,46,128,46,0,0,1.00791,79.3552
47,11,1,16,47,1,47,0,0,0.773979,98.6854
47,11,16,16,47,16,47,0,0,0.934742,120.08
47,11,32,16,47,32,47,0,0,1.00058,118.344
47,11,64,16,47,64,47,0,0,1.04137,80.1374
47,11,128,16,47,128,47,0,0,1.02141,78.7916
48,11,1,16,48,1,48,0,0,0.77138,109.518
48,11,16,16,48,16,48,0,0,1.01692,125.84
48,11,32,16,48,32,48,0,0,1.00454,125.047
48,11,64,16,48,64,48,0,0,1.01402,84.3824
48,11,128,16,48,128,48,0,0,1.03419,83.1605
49,11,1,16,49,1,49,0,0,0.767159,87.042
49,11,16,16,49,16,49,0,0,1.11015,103.577
49,11,32,16,49,32,49,0,0,1.00324,103.073
49,11,64,16,49,64,49,0,0,1.03651,69.4171
49,11,128,16,49,128,49,0,0,1.00687,66.5784
50,11,1,16,50,1,50,0,0,0.776079,97.2058
50,11,16,16,50,16,50,0,0,0.998944,105.056
50,11,32,16,50,32,50,0,0,1.02292,105.207
50,11,64,16,50,64,50,0,0,0.967353,69.172
50,11,128,16,50,128,50,0,0,1.00258,67.4079
51,11,1,16,51,1,51,0,0,0.767118,87.7789
51,11,16,16,51,16,51,0,0,0.999424,106.939
51,11,32,16,51,32,51,0,0,1.00304,106.306
51,11,64,16,51,64,51,0,0,1.04798,67.5522
51,11,128,16,51,128,51,0,0,0.982578,65.9602
52,11,1,16,52,1,52,0,0,0.737216,93.1303
52,11,16,16,52,16,52,0,0,1.00095,111.11
52,11,32,16,52,32,52,0,0,1.02273,110.048
52,11,64,16,52,64,52,0,0,1.01808,72.9409
52,11,128,16,52,128,52,0,0,0.992198,70.8212
53,11,1,16,53,1,53,0,0,0.744432,91.1299
53,11,16,16,53,16,53,0,0,0.996164,109.961
53,11,32,16,53,32,53,0,0,1.00438,108.978
53,11,64,16,53,64,53,0,0,1.00412,70.7601
53,11,128,16,53,128,53,0,0,1.01954,68.2259
54,11,1,16,54,1,54,0,0,0.778617,94.5123
54,11,16,16,54,16,54,0,0,1.00349,111.9
54,11,32,16,54,32,54,0,0,1.00816,110.45
54,11,64,16,54,64,54,0,0,1.00033,73.2038
54,11,128,16,54,128,54,0,0,1.02064,70.2917
55,11,1,16,55,1,55,0,0,0.78171,90.059
55,11,16,16,55,16,55,0,0,1.10748,109.866
55,11,32,16,55,32,55,0,0,1.00806,107.19
55,11,64,16,55,64,55,0,0,1.02994,70.5402
55,11,128,16,55,128,55,0,0,1.01448,68.9139
56,11,1,16,56,1,56,0,0,0.765978,104.654
56,11,16,16,56,16,56,0,0,1.00603,117.933
56,11,32,16,56,32,56,0,0,1.01391,114.414
56,11,64,16,56,64,56,0,0,1.04999,75.0926
56,11,128,16,56,128,56,0,0,1.01793,73.2257
57,11,1,16,57,1,57,0,0,0.772448,97.3925
57,11,16,16,57,16,57,0,0,1.10918,116.352
57,11,32,16,57,32,57,0,0,1.01423,112.624
57,11,64,16,57,64,57,0,0,0.93417,73.3589
57,11,128,16,57,128,57,0,0,0.999711,71.8737
58,11,1,16,58,1,58,0,0,0.682988,101.055
58,11,16,16,58,16,58,0,0,1.02619,118.075
58,11,32,16,58,32,58,0,0,1.00261,114.651
58,11,64,16,58,64,58,0,0,1.00637,75.6499
58,11,128,16,58,128,58,0,0,0.992086,73.7836
59,11,1,16,59,1,59,0,0,0.796364,96.3018
59,11,16,16,59,16,59,0,0,0.993744,116.814
59,11,32,16,59,32,59,0,0,1.01198,112.099
59,11,64,16,59,64,59,0,0,1.02999,74.0565
59,11,128,16,59,128,59,0,0,1.01987,72.1845
60,11,1,16,60,1,60,0,0,0.743106,108.271
60,11,16,16,60,16,60,0,0,1.00205,124.516
60,11,32,16,60,32,60,0,0,0.845209,120.167
60,11,64,16,60,64,60,0,0,0.951492,81.3302
60,11,128,16,60,128,60,0,0,0.994174,81.1791
61,11,1,16,61,1,61,0,0,0.756591,103.2
61,11,16,16,61,16,61,0,0,1.00447,119.309
61,11,32,16,61,32,61,0,0,0.964632,113.513
61,11,64,16,61,64,61,0,0,1.01349,74.6204
61,11,128,16,61,128,61,0,0,0.986038,73.0449
62,11,1,16,62,1,62,0,0,0.758039,107.949
62,11,16,16,62,16,62,0,0,1.00262,120.788
62,11,32,16,62,32,62,0,0,1.06937,116.359
62,11,64,16,62,64,62,0,0,0.995305,76.8586
62,11,128,16,62,128,62,0,0,1.02901,72.7709
63,11,1,16,63,1,63,0,0,0.793513,100.095
63,11,16,16,63,16,63,0,0,0.97822,121.075
63,11,32,16,63,32,63,0,0,1.02366,108.884
63,11,64,16,63,64,63,0,0,0.996448,70.279
63,11,128,16,63,128,63,0,0,0.997864,69.7127
64,11,1,16,64,1,64,0,0,0.774417,110.82
64,11,16,16,64,16,64,0,0,1.00378,125.811
64,11,32,16,64,32,64,0,0,1.07819,115.778
64,11,64,16,64,64,64,0,0,1.00945,82.6184
64,11,128,16,64,128,64,0,0,0.982301,81.9192
1,12,1,16,1,1,1,0,0,0.609941,11.6371
1,12,16,16,1,16,1,0,0,0.771711,11.9435
1,12,32,16,1,32,1,0,0,0.771046,11.1508
1,12,64,16,1,64,1,0,0,0.841084,8.11649
1,12,128,16,1,128,1,0,0,0.973442,8.06272
2,12,1,16,2,1,2,0,0,0.891013,22.9851
2,12,16,16,2,16,2,0,0,0.915876,24.209
2,12,32,16,2,32,2,0,0,0.748361,22.2642
2,12,64,16,2,64,2,0,0,1.41949,16.1054
2,12,128,16,2,128,2,0,0,0.970559,16.0879
3,12,1,16,3,1,3,0,0,0.681939,28.9264
3,12,16,16,3,16,3,0,0,0.777119,34.29
3,12,32,16,3,32,3,0,0,0.967368,31.4289
3,12,64,16,3,64,3,0,0,0.994204,23.6044
3,12,128,16,3,128,3,0,0,0.982088,23.3991
4,12,1,16,4,1,4,0,0,0.633032,48.5284
4,12,16,16,4,16,4,0,0,0.792034,47.1278
4,12,32,16,4,32,4,0,0,1.01057,44.3859
4,12,64,16,4,64,4,0,0,1.06645,32.2022
4,12,128,16,4,128,4,0,0,1.05599,31.8034
5,12,1,16,5,1,5,0,0,0.9583,43.7456
5,12,16,16,5,16,5,0,0,0.969864,53.163
5,12,32,16,5,32,5,0,0,0.975343,51.0728
5,12,64,16,5,64,5,0,0,1.05694,38.8077
5,12,128,16,5,128,5,0,0,1.08845,37.7624
6,12,1,16,6,1,6,0,0,0.794615,53.4966
6,12,16,16,6,16,6,0,0,0.973547,63.9947
6,12,32,16,6,32,6,0,0,0.977813,61.3414
6,12,64,16,6,64,6,0,0,1.02124,46.5143
6,12,128,16,6,128,6,0,0,1.05175,44.4487
7,12,1,16,7,1,7,0,0,0.712853,53.1842
7,12,16,16,7,16,7,0,0,0.414325,63.5499
7,12,32,16,7,32,7,0,0,0.996906,62.7512
7,12,64,16,7,64,7,0,0,1.12668,49.5214
7,12,128,16,7,128,7,0,0,0.914839,46.5982
8,12,1,16,8,1,8,0,0,0.593582,82.8058
8,12,16,16,8,16,8,0,0,0.78261,86.6279
8,12,32,16,8,32,8,0,0,0.972305,82.2519
8,12,64,16,8,64,8,0,0,1.05953,61.9382
8,12,128,16,8,128,8,0,0,0.997201,57.8814
9,12,1,16,9,1,9,0,0,0.901311,61.3506
9,12,16,16,9,16,9,0,0,0.786219,77.7831
9,12,32,16,9,32,9,0,0,0.999678,77.6334
9,12,64,16,9,64,9,0,0,1.12058,64.2753
9,12,128,16,9,128,9,0,0,1.07128,61.708
10,12,1,16,10,1,10,0,0,0.617958,78.5589
10,12,16,16,10,16,10,0,0,0.7815,87.3534
10,12,32,16,10,32,10,0,0,0.981483,87.3435
10,12,64,16,10,64,10,0,0,1.02261,71.2965
10,12,128,16,10,128,10,0,0,1.03357,67.7747
11,12,1,16,11,1,11,0,0,0.803624,66.366
11,12,16,16,11,16,11,0,0,0.766383,83.6596
11,12,32,16,11,32,11,0,0,1.00636,83.7263
11,12,64,16,11,64,11,0,0,1.09068,74.9207
11,12,128,16,11,128,11,0,0,1.02981,70.1971
12,12,1,16,12,1,12,0,0,0.63419,102.482
12,12,16,16,12,16,12,0,0,0.788599,105.343
12,12,32,16,12,32,12,0,0,0.781978,105.741
12,12,64,16,12,64,12,0,0,1.02588,85.8128
12,12,128,16,12,128,12,0,0,0.992349,79.8698
13,12,1,16,13,1,13,0,0,0.884746,75.2306
13,12,16,16,13,16,13,0,0,0.880977,102.155
13,12,32,16,13,32,13,0,0,0.989179,102.534
13,12,64,16,13,64,13,0,0,1.00536,101.691
13,12,128,16,13,128,13,0,0,1.05989,83.4905
14,12,1,16,14,1,14,0,0,0.724791,98.8975
14,12,16,16,14,16,14,0,0,0.904909,110.209
14,12,32,16,14,32,14,0,0,1.00437,110.506
14,12,64,16,14,64,14,0,0,0.787671,109.315
14,12,128,16,14,128,14,0,0,0.992768,88.9584
15,12,1,16,15,1,15,0,0,0.706637,93.1576
15,12,16,16,15,16,15,0,0,1.01281,108.649
15,12,32,16,15,32,15,0,0,0.981292,109.416
15,12,64,16,15,64,15,0,0,0.982403,108.505
15,12,128,16,15,128,15,0,0,1.01105,90.4921
16,12,1,16,16,1,16,0,0,0.71277,103.356
16,12,16,16,16,16,16,0,0,1.08943,125.186
16,12,32,16,16,32,16,0,0,1.09461,125.675
16,12,64,16,16,64,16,0,0,1.00016,123.668
16,12,128,16,16,128,16,0,0,1.01811,102.478
17,12,1,16,17,1,17,0,0,0.749146,61.4955
17,12,16,16,17,16,17,0,0,0.97386,81.2018
17,12,32,16,17,32,17,0,0,0.993161,80.5108
17,12,64,16,17,64,17,0,0,0.798785,72.4753
17,12,128,16,17,128,17,0,0,1.00628,57.7977
18,12,1,16,18,1,18,0,0,1.10044,79.307
18,12,16,16,18,16,18,0,0,0.877302,85.702
18,12,32,16,18,32,18,0,0,0.998349,86.1791
18,12,64,16,18,64,18,0,0,1.13575,76.1848
18,12,128,16,18,128,18,0,0,0.846331,61.3271
19,12,1,16,19,1,19,0,0,0.762257,62.0725
19,12,16,16,19,16,19,0,0,1.04716,88.2996
19,12,32,16,19,32,19,0,0,0.993477,88.6777
19,12,64,16,19,64,19,0,0,1.06171,79.4813
19,12,128,16,19,128,19,0,0,0.978421,62.4519
20,12,1,16,20,1,20,0,0,0.738923,75.5891
20,12,16,16,20,16,20,0,0,0.991772,96.5475
20,12,32,16,20,32,20,0,0,0.996177,95.9596
20,12,64,16,20,64,20,0,0,0.98765,84.4086
20,12,128,16,20,128,20,0,0,0.898227,68.3467
21,12,1,16,21,1,21,0,0,0.761259,68.7409
21,12,16,16,21,16,21,0,0,1.04209,95.86
21,12,32,16,21,32,21,0,0,1.10541,96.0976
21,12,64,16,21,64,21,0,0,0.997738,87.5473
21,12,128,16,21,128,21,0,0,0.98591,67.9089
22,12,1,16,22,1,22,0,0,0.905827,82.9003
22,12,16,16,22,16,22,0,0,0.798442,101.068
22,12,32,16,22,32,22,0,0,0.985935,101.553
22,12,64,16,22,64,22,0,0,0.999747,90.1977
22,12,128,16,22,128,22,0,0,0.907949,70.7498
23,12,1,16,23,1,23,0,0,0.776056,70.0346
23,12,16,16,23,16,23,0,0,0.954998,97.298
23,12,32,16,23,32,23,0,0,1.00466,97.5623
23,12,64,16,23,64,23,0,0,1.02614,88.6671
23,12,128,16,23,128,23,0,0,1.02679,71.5894
24,12,1,16,24,1,24,0,0,0.749797,98.3307
24,12,16,16,24,16,24,0,0,1.00216,111.748
24,12,32,16,24,32,24,0,0,1.00201,111.413
24,12,64,16,24,64,24,0,0,1.05457,90.6367
24,12,128,16,24,128,24,0,0,0.837772,78.827
25,12,1,16,25,1,25,0,0,0.79136,85.671
25,12,16,16,25,16,25,0,0,0.90278,109.768
25,12,32,16,25,32,25,0,0,1.00362,109.319
25,12,64,16,25,64,25,0,0,1.006,93.4202
25,12,128,16,25,128,25,0,0,1.00126,77.9408
26,12,1,16,26,1,26,0,0,0.771897,100.111
26,12,16,16,26,16,26,0,0,1.00177,113.901
26,12,32,16,26,32,26,0,0,1.00604,114.27
26,12,64,16,26,64,26,0,0,0.999165,95.6272
26,12,128,16,26,128,26,0,0,0.987728,80.7789
27,12,1,16,27,1,27,0,0,0.820349,84.2568
27,12,16,16,27,16,27,0,0,0.965907,112.618
27,12,32,16,27,32,27,0,0,1.00643,112.865
27,12,64,16,27,64,27,0,0,1.01197,94.3448
27,12,128,16,27,128,27,0,0,0.992387,81.894
28,12,1,16,28,1,28,0,0,0.721228,108.421
28,12,16,16,28,16,28,0,0,0.981985,124.388
28,12,32,16,28,32,28,0,0,1.00459,123.978
28,12,64,16,28,64,28,0,0,1.03012,95.5426
28,12,128,16,28,128,28,0,0,1.0158,87.128
29,12,1,16,29,1,29,0,0,0.775592,104.422
29,12,16,16,29,16,29,0,0,1.00229,113.772
29,12,32,16,29,32,29,0,0,1.00747,113.187
29,12,64,16,29,64,29,0,0,1.01954,95.4325
29,12,128,16,29,128,29,0,0,1.03667,85.3581
30,12,1,16,30,1,30,0,0,0.747109,108.817
30,12,16,16,30,16,30,0,0,1.00535,117.338
30,12,32,16,30,32,30,0,0,1.10768,118.153
30,12,64,16,30,64,30,0,0,0.969818,96.9979
30,12,128,16,30,128,30,0,0,0.999976,89.008
31,12,1,16,31,1,31,0,0,0.772466,99.9376
31,12,16,16,31,16,31,0,0,1.08269,116.625
31,12,32,16,31,32,31,0,0,1.11359,116.446
31,12,64,16,31,64,31,0,0,1.05483,96.3535
31,12,128,16,31,128,31,0,0,0.909792,87.9148
32,12,1,16,32,1,32,0,0,0.729524,109.305
32,12,16,16,32,16,32,0,0,0.999429,124.902
32,12,32,16,32,32,32,0,0,1.00608,124.901
32,12,64,16,32,64,32,0,0,1.00096,97.7499
32,12,128,16,32,128,32,0,0,0.994941,94.7553
33,12,1,16,33,1,33,0,0,0.760913,78.3703
33,12,16,16,33,16,33,0,0,1.10132,97.3198
33,12,32,16,33,32,33,0,0,1.10165,96.7584
