M,N,K,BR_STRIDE,LDA,LDB,LDC,TRANS_A,TRANS_B,TIME_S,GFLOPS
20,1,64,16,20,64,20,0,0,1.00495,22.6965
20,1,128,16,20,128,20,0,0,0.782919,22.2232
21,1,1,16,21,1,21,0,0,0.852085,21.0308
21,1,16,16,21,16,21,0,0,0.918429,24.0143
21,1,32,16,21,32,21,0,0,1.00212,23.5162
21,1,64,16,21,64,21,0,0,0.728383,23.2693
21,1,128,16,21,128,21,0,0,1.0152,22.7964
22,1,1,16,22,1,22,0,0,0.954567,22.1474
22,1,16,16,22,16,22,0,0,0.917269,26.3123
22,1,32,16,22,32,22,0,0,0.558962,25.1236
22,1,64,16,22,64,22,0,0,1.00481,24.6252
22,1,128,16,22,128,22,0,0,1.02423,23.6716
23,1,1,16,23,1,23,0,0,0.832411,21.2033
23,1,16,16,23,16,23,0,0,0.720644,24.0591
23,1,32,16,23,32,23,0,0,1.00459,23.1549
23,1,64,16,23,64,23,0,0,1.00585,22.7973
23,1,128,16,23,128,23,0,0,1.02587,21.93
24,1,1,16,24,1,24,0,0,0.884691,26.0691
24,1,16,16,24,16,24,0,0,0.715709,30.2964
24,1,32,16,24,32,24,0,0,0.999679,28.2314
24,1,64,16,24,64,24,0,0,1.00236,27.2425
24,1,128,16,24,128,24,0,0,1.02036,26.2455
25,1,1,16,25,1,25,0,0,0.968882,24.7214
25,1,16,16,25,16,25,0,0,0.925096,29.1293
25,1,32,16,25,32,25,0,0,1.01273,28.2184
25,1,64,16,25,64,25,0,0,1.00621,27.8177
25,1,128,16,25,128,25,0,0,1.03726,26.2382
26,1,1,16,26,1,26,0,0,0.966412,25.8533
26,1,16,16,26,16,26,0,0,1.01494,30.2632
26,1,32,16,26,32,26,0,0,0.986735,29.4337
26,1,64,16,26,64,26,0,0,1.01049,28.8093
26,1,128,16,26,128,26,0,0,1.04606,27.2086
27,1,1,16,27,1,27,0,0,0.943249,24.4262
27,1,16,16,27,16,27,0,0,0.872622,27.7539
27,1,32,16,27,32,27,0,0,1.01558,26.8878
27,1,64,16,27,64,27,0,0,1.00694,26.6796
27,1,128,16,27,128,27,0,0,0.95151,25.2438
28,1,1,16,28,1,28,0,0,0.653241,29.8828
28,1,16,16,28,16,28,0,0,0.918282,35.0197
28,1,32,16,28,32,28,0,0,0.997582,32.8474
28,1,64,16,28,64,28,0,0,1.00393,31.733
28,1,128,16,28,128,28,0,0,1.04865,29.6588
29,1,1,16,29,1,29,0,0,0.880143,28.1166
29,1,16,16,29,16,29,0,0,0.93276,33.2186
29,1,32,16,29,32,29,0,0,1.0165,32.3092
29,1,64,16,29,64,29,0,0,1.01924,31.7102
29,1,128,16,29,128,29,0,0,1.04782,29.5407
30,1,1,16,30,1,30,0,0,0.723336,28.9778
30,1,16,16,30,16,30,0,0,0.945779,34.1907
30,1,32,16,30,32,30,0,0,1.03216,33.3812
30,1,64,16,30,64,30,0,0,1.02248,32.627
