M,N,K,LDA,LDB,LDC,TRANS_A,TRANS_B,TIME_S,GFLOPS
22,1,16,22,16,22,0,0,1.23682,38.9863
22,1,32,22,32,22,0,0,1.42303,36.5781
22,1,64,22,64,22,0,0,1.4453,31.1742
22,1,128,22,128,22,0,0,1.80766,28.7685
23,1,1,23,1,23,0,0,0.81717,9.00669
23,1,16,23,16,23,0,0,1.17584,37.5937
23,1,32,23,32,23,0,0,1.42205,31.0382
23,1,64,23,64,23,0,0,1.42697,27.5082
23,1,128,23,128,23,0,0,1.78286,25.9839
24,1,1,24,1,24,0,0,0.796378,9.64366
24,1,16,24,16,24,0,0,1.0776,42.8045
24,1,32,24,32,24,0,0,1.42913,42.9911
24,1,64,24,64,24,0,0,1.73673,36.8893
24,1,128,24,128,24,0,0,1.79549,32.8556
25,1,1,25,1,25,0,0,0.801687,9.97896
25,1,16,25,16,25,0,0,1.33544,41.031
25,1,32,25,32,25,0,0,1.27398,37.6583
25,1,64,25,64,25,0,0,1.79824,32.8323
25,1,128,25,128,25,0,0,1.80413,30.4108
26,1,1,26,1,26,0,0,0.606791,10.3249
26,1,16,26,16,26,0,0,1.24747,45.6816
26,1,32,26,32,26,0,0,1.47367,38.7361
26,1,64,26,64,26,0,0,1.43051,34.8792
26,1,128,26,128,26,0,0,1.57202,32.784
27,1,1,27,1,27,0,0,1.23654,10.5229
27,1,16,27,16,27,0,0,1.11367,41.3767
27,1,32,27,32,27,0,0,1.42839,34.1257
27,1,64,27,64,27,0,0,1.43971,31.1549
27,1,128,27,128,27,0,0,1.49132,29.6628
28,1,1,28,1,28,0,0,0.793152,11.2967
28,1,16,28,16,28,0,0,1.08911,49.4106
28,1,32,28,32,28,0,0,1.68049,46.5657
28,1,64,28,64,28,0,0,1.40563,42.2143
28,1,128,28,128,28,0,0,1.46145,37.9622
29,1,1,29,1,29,0,0,0.805299,11.5237
29,1,16,29,16,29,0,0,1.0578,46.7889
29,1,32,29,32,29,0,0,1.47242,40.3362
29,1,64,29,64,29,0,0,1.46112,36.953
29,1,128,29,128,29,0,0,1.46355,34.286
30,1,1,30,1,30,0,0,0.608083,11.8169
30,1,16,30,16,30,0,0,1.17998,48.7169
30,1,32,30,32,30,0,0,1.48021,41.5076
30,1,64,30,64,30,0,0,1.77137,38.539
30,1,128,30,128,30,0,0,1.48461,37.0564
